Date,Time,Temperature C, Temperature F,Humidity
01/31/25,20:31,21.7*C,71.1*F,22.5%
01/31/25,20:36,21.3*C,70.3*F,22.7%
01/31/25,21:01,21.7*C,71.1*F,21.9%
01/31/25,21:06,21.9*C,71.4*F,21.6%
01/31/25,21:11,22.1*C,71.8*F,21.7%
01/31/25,21:17,22.1*C,71.8*F,21.6%
01/31/25,21:22,21.7*C,71.1*F,21.7%
01/31/25,21:27,21.1*C,70.0*F,21.9%
01/31/25,21:32,20.8*C,69.4*F,22.3%
01/31/25,21:37,20.7*C,69.3*F,22.4%
01/31/25,21:42,20.8*C,69.4*F,22.4%
01/31/25,21:47,21.2*C,70.2*F,22.5%
01/31/25,21:52,21.7*C,71.1*F,22.3%
01/31/25,21:57,21.9*C,71.4*F,22.4%
01/31/25,22:07,22.1*C,71.8*F,22.0%
01/31/25,22:12,21.8*C,71.2*F,22.1%
01/31/25,22:17,21.2*C,70.2*F,21.8%
01/31/25,22:22,20.9*C,69.6*F,21.5%
01/31/25,22:27,20.7*C,69.3*F,21.4%
01/31/25,22:32,20.6*C,69.1*F,21.3%
01/31/25,22:42,20.9*C,69.6*F,21.2%
01/31/25,22:52,21.4*C,70.5*F,21.2%
01/31/25,22:57,21.5*C,70.7*F,21.2%
01/31/25,23:02,21.5*C,70.7*F,20.9%
01/31/25,23:07,21.1*C,70.0*F,20.9%
01/31/25,23:12,20.7*C,69.3*F,21.1%
01/31/25,23:17,20.5*C,68.9*F,21.2%
01/31/25,23:22,20.3*C,68.5*F,21.3%
01/31/25,23:32,20.1*C,68.2*F,21.5%
01/31/25,23:37,20.1*C,68.2*F,21.5%
01/31/25,23:42,20.1*C,68.2*F,21.6%
01/31/25,23:52,20.8*C,69.4*F,21.7%
01/31/25,23:57,21.1*C,70.0*F,21.7%
02/01/25,00:02,21.3*C,70.3*F,21.6%
02/01/25,00:22,21.6*C,70.9*F,22.1%
02/01/25,00:27,21.7*C,71.1*F,22.1%
02/01/25,00:32,21.9*C,71.4*F,22.1%
02/01/25,00:37,22.0*C,71.6*F,22.1%
02/01/25,00:47,22.1*C,71.8*F,22.2%
02/01/25,00:57,22.1*C,71.8*F,22.5%
02/01/25,01:07,22.2*C,72.0*F,22.5%
02/01/25,01:12,22.1*C,71.8*F,22.5%
02/01/25,01:17,22.0*C,71.6*F,22.5%
02/01/25,01:22,21.9*C,71.4*F,22.5%
02/01/25,01:27,21.8*C,71.2*F,22.5%
02/01/25,01:32,21.7*C,71.1*F,22.5%
02/01/25,01:47,21.5*C,70.7*F,22.5%
02/01/25,01:57,21.5*C,70.7*F,22.5%
02/01/25,02:07,21.4*C,70.5*F,22.5%
02/01/25,02:12,21.4*C,70.5*F,22.6%
02/01/25,02:17,21.4*C,70.5*F,22.6%
02/01/25,02:22,21.3*C,70.3*F,22.6%
02/01/25,02:42,21.2*C,70.2*F,22.6%
02/01/25,02:57,21.1*C,70.0*F,22.7%
02/01/25,03:02,21.1*C,70.0*F,22.7%
02/01/25,03:07,21.1*C,70.0*F,22.7%
02/01/25,03:12,21.1*C,70.0*F,22.7%
02/01/25,03:17,21.1*C,70.0*F,22.8%
02/01/25,03:22,21.1*C,70.0*F,22.8%
02/01/25,03:27,21.1*C,70.0*F,22.8%
02/01/25,03:37,21.0*C,69.8*F,22.8%
02/01/25,03:52,21.0*C,69.8*F,22.9%
02/01/25,03:57,21.0*C,69.8*F,22.9%
02/01/25,04:02,21.0*C,69.8*F,22.9%
02/01/25,04:07,20.9*C,69.6*F,22.9%
02/01/25,04:12,20.9*C,69.6*F,22.9%
02/01/25,04:22,20.9*C,69.6*F,22.9%
02/01/25,04:27,20.9*C,69.6*F,22.9%
02/01/25,04:32,20.9*C,69.6*F,22.9%
02/01/25,04:37,20.8*C,69.4*F,23.0%
02/01/25,04:42,20.8*C,69.4*F,23.0%
02/01/25,04:52,20.8*C,69.4*F,23.0%
02/01/25,04:57,20.8*C,69.4*F,23.0%
02/01/25,05:12,20.7*C,69.3*F,23.0%
02/01/25,05:17,20.7*C,69.3*F,23.0%
02/01/25,05:22,20.7*C,69.3*F,23.0%
02/01/25,05:32,20.7*C,69.3*F,23.0%
02/01/25,05:37,20.7*C,69.3*F,23.1%
02/01/25,05:42,20.6*C,69.1*F,23.1%
02/01/25,05:47,20.6*C,69.1*F,23.1%
02/01/25,06:07,20.6*C,69.1*F,23.1%
02/01/25,06:12,20.6*C,69.1*F,23.1%
02/01/25,06:17,20.6*C,69.1*F,23.1%
02/01/25,06:22,20.6*C,69.1*F,23.1%
02/01/25,06:27,20.6*C,69.1*F,23.1%
02/01/25,06:32,20.5*C,68.9*F,23.1%
02/01/25,06:37,20.5*C,68.9*F,23.1%
02/01/25,06:42,20.5*C,68.9*F,23.1%
02/01/25,06:47,20.5*C,68.9*F,23.1%
02/01/25,06:52,20.5*C,68.9*F,23.1%
02/01/25,06:57,20.5*C,68.9*F,23.1%
02/01/25,07:02,20.5*C,68.9*F,23.2%
02/01/25,07:07,20.5*C,68.9*F,23.1%
02/01/25,07:12,20.5*C,68.9*F,23.2%
02/01/25,07:17,20.5*C,68.9*F,23.2%
02/01/25,07:22,20.5*C,68.9*F,23.1%
02/01/25,07:27,20.4*C,68.7*F,23.2%
02/01/25,07:37,20.4*C,68.7*F,23.2%
02/01/25,07:47,20.3*C,68.5*F,23.1%
02/01/25,07:57,20.3*C,68.5*F,23.2%
02/01/25,08:07,20.3*C,68.5*F,23.1%
02/01/25,08:12,20.3*C,68.5*F,23.1%
02/01/25,08:27,20.3*C,68.5*F,23.2%
02/01/25,08:47,20.3*C,68.5*F,23.2%
02/01/25,08:57,20.3*C,68.5*F,23.2%
02/01/25,09:02,20.3*C,68.5*F,23.2%
02/01/25,09:07,20.3*C,68.5*F,23.2%
02/01/25,09:12,20.3*C,68.5*F,23.2%
02/01/25,09:17,20.2*C,68.4*F,23.3%
02/01/25,09:22,20.2*C,68.4*F,23.3%
02/01/25,09:27,20.2*C,68.4*F,23.3%
02/01/25,09:32,20.2*C,68.4*F,23.3%
02/01/25,09:37,20.2*C,68.4*F,23.3%
02/01/25,09:42,20.2*C,68.4*F,23.3%
02/01/25,09:47,20.2*C,68.4*F,23.3%
02/01/25,09:57,20.2*C,68.4*F,23.3%
02/01/25,10:02,20.1*C,68.2*F,23.3%
02/01/25,10:07,20.2*C,68.4*F,23.3%
02/01/25,10:17,20.1*C,68.2*F,23.3%
02/01/25,10:37,20.1*C,68.2*F,23.4%
02/01/25,10:42,20.1*C,68.2*F,23.3%
02/01/25,10:47,20.1*C,68.2*F,23.4%
02/01/25,10:52,20.1*C,68.2*F,23.4%
02/01/25,10:57,20.1*C,68.2*F,23.4%
02/01/25,11:07,20.1*C,68.2*F,23.4%
02/01/25,11:12,20.1*C,68.2*F,23.4%
02/01/25,11:22,20.1*C,68.2*F,23.4%
02/01/25,11:38,20.1*C,68.2*F,23.4%
02/01/25,11:43,20.1*C,68.2*F,23.5%
02/01/25,11:48,20.1*C,68.2*F,23.4%
02/01/25,11:53,20.0*C,68.0*F,23.5%
02/01/25,11:58,20.0*C,68.0*F,23.5%
02/01/25,12:03,20.1*C,68.2*F,23.5%
02/01/25,12:08,20.0*C,68.0*F,23.5%
02/01/25,12:13,20.0*C,68.0*F,23.5%
02/01/25,12:18,20.0*C,68.0*F,23.5%
02/01/25,12:28,20.0*C,68.0*F,23.5%
02/01/25,12:33,20.0*C,68.0*F,23.5%
02/01/25,12:38,20.0*C,68.0*F,23.5%
02/01/25,12:43,20.0*C,68.0*F,23.5%
02/01/25,12:48,20.0*C,68.0*F,23.6%
02/01/25,12:58,20.0*C,68.0*F,23.6%
02/01/25,13:03,20.0*C,68.0*F,23.6%
02/01/25,13:08,20.0*C,68.0*F,23.6%
02/01/25,13:13,20.0*C,68.0*F,23.6%
02/01/25,13:18,20.0*C,68.0*F,23.6%
02/01/25,13:28,20.0*C,68.0*F,23.6%
02/01/25,13:33,20.0*C,68.0*F,23.6%
02/01/25,13:38,20.0*C,68.0*F,23.6%
02/01/25,13:48,20.0*C,68.0*F,23.7%
02/01/25,13:53,20.0*C,68.0*F,23.7%
02/01/25,13:58,20.0*C,68.0*F,23.7%
02/01/25,14:03,20.0*C,68.0*F,23.7%
02/01/25,14:13,20.0*C,68.0*F,23.7%
02/01/25,14:18,20.0*C,68.0*F,23.7%
02/01/25,14:38,20.0*C,68.0*F,23.7%
02/01/25,14:43,20.0*C,68.0*F,23.7%
02/01/25,14:48,20.0*C,68.0*F,23.7%
02/01/25,15:08,20.0*C,68.0*F,23.8%
02/01/25,15:13,20.0*C,68.0*F,23.8%
02/01/25,15:18,20.0*C,68.0*F,23.8%
02/01/25,15:23,20.0*C,68.0*F,23.8%
02/01/25,15:33,20.0*C,68.0*F,23.8%
02/01/25,15:38,20.0*C,68.0*F,23.9%
02/01/25,15:43,20.0*C,68.0*F,23.9%
02/01/25,15:53,20.0*C,68.0*F,23.9%
02/01/25,16:03,20.0*C,68.0*F,23.9%
02/01/25,16:08,20.0*C,68.0*F,23.9%
02/01/25,16:18,20.0*C,68.0*F,23.9%
02/01/25,16:28,20.0*C,68.0*F,24.0%
02/01/25,16:33,20.0*C,68.0*F,24.0%
02/01/25,16:43,20.0*C,68.0*F,24.0%
02/01/25,16:48,20.0*C,68.0*F,24.0%
02/01/25,16:53,20.0*C,68.0*F,24.0%
02/01/25,16:58,20.0*C,68.0*F,24.0%
02/01/25,17:08,20.0*C,68.0*F,24.1%
02/01/25,17:13,20.0*C,68.0*F,24.1%
02/01/25,17:18,20.0*C,68.0*F,24.1%
02/01/25,17:23,20.0*C,68.0*F,24.1%
02/01/25,17:33,20.0*C,68.0*F,24.1%
02/01/25,17:38,20.0*C,68.0*F,24.2%
02/01/25,17:48,20.0*C,68.0*F,24.2%
02/01/25,17:53,20.0*C,68.0*F,24.2%
02/01/25,18:03,20.0*C,68.0*F,24.2%
02/01/25,18:08,20.0*C,68.0*F,24.2%
02/01/25,18:13,20.0*C,68.0*F,24.2%
02/01/25,18:23,20.0*C,68.0*F,24.2%
02/01/25,18:28,20.0*C,68.0*F,24.2%
02/01/25,18:33,20.0*C,68.0*F,24.3%
02/01/25,18:38,20.0*C,68.0*F,24.3%
02/01/25,18:43,20.0*C,68.0*F,24.3%
02/01/25,18:48,20.0*C,68.0*F,24.3%
02/01/25,18:53,20.0*C,68.0*F,24.3%
02/01/25,19:08,20.0*C,68.0*F,24.3%
02/01/25,19:13,20.0*C,68.0*F,24.3%
02/01/25,19:18,20.0*C,68.0*F,24.4%
02/01/25,19:23,20.0*C,68.0*F,24.4%
02/01/25,19:33,20.0*C,68.0*F,24.4%
02/01/25,19:48,20.0*C,68.0*F,24.4%
02/01/25,19:53,20.0*C,68.0*F,24.4%
02/01/25,19:58,20.0*C,68.0*F,24.4%
02/01/25,20:03,20.0*C,68.0*F,24.4%
02/01/25,20:08,20.0*C,68.0*F,24.5%
02/01/25,20:13,20.0*C,68.0*F,24.5%
02/01/25,20:18,20.0*C,68.0*F,24.5%
02/01/25,20:43,20.0*C,68.0*F,24.6%
02/01/25,20:48,20.0*C,68.0*F,24.6%
02/01/25,20:53,20.1*C,68.2*F,24.6%
02/01/25,21:13,20.0*C,68.0*F,24.7%
02/01/25,21:18,20.1*C,68.2*F,24.7%
02/01/25,21:28,20.1*C,68.2*F,24.7%
02/01/25,21:33,20.1*C,68.2*F,24.7%
02/01/25,21:38,20.1*C,68.2*F,24.7%
02/01/25,21:48,20.1*C,68.2*F,24.7%
02/01/25,22:08,20.1*C,68.2*F,24.8%
02/01/25,22:13,20.1*C,68.2*F,24.8%
02/01/25,22:18,20.1*C,68.2*F,24.8%
02/01/25,22:28,20.1*C,68.2*F,24.9%
02/01/25,22:33,20.1*C,68.2*F,24.8%
02/01/25,22:38,20.1*C,68.2*F,24.9%
02/01/25,22:53,20.1*C,68.2*F,24.9%
02/01/25,22:58,20.1*C,68.2*F,24.9%
02/01/25,23:18,20.1*C,68.2*F,25.0%
02/01/25,23:23,20.1*C,68.2*F,25.0%
02/01/25,23:28,20.1*C,68.2*F,25.0%
02/01/25,23:33,20.1*C,68.2*F,25.0%
02/01/25,23:38,20.1*C,68.2*F,25.0%
02/01/25,23:48,20.1*C,68.2*F,25.0%
02/01/25,23:53,20.1*C,68.2*F,25.0%
02/01/25,23:58,20.1*C,68.2*F,25.0%
02/02/25,00:08,20.1*C,68.2*F,25.0%
02/02/25,00:13,20.1*C,68.2*F,25.0%
02/02/25,00:18,20.1*C,68.2*F,25.0%
02/02/25,00:23,20.1*C,68.2*F,25.0%
02/02/25,00:28,20.1*C,68.2*F,25.0%
02/02/25,00:38,20.1*C,68.2*F,25.0%
02/02/25,00:43,20.1*C,68.2*F,25.1%
02/02/25,00:48,20.1*C,68.2*F,25.0%
02/02/25,00:53,20.1*C,68.2*F,25.0%
02/02/25,01:13,20.1*C,68.2*F,25.1%
02/02/25,01:18,20.1*C,68.2*F,25.1%
02/02/25,01:23,20.1*C,68.2*F,25.1%
02/02/25,01:28,20.1*C,68.2*F,25.1%
02/02/25,01:33,20.1*C,68.2*F,25.1%
02/02/25,01:54,20.0*C,68.0*F,25.2%
02/02/25,01:59,20.1*C,68.2*F,25.1%
02/02/25,02:04,20.0*C,68.0*F,25.2%
02/02/25,02:09,20.1*C,68.2*F,25.2%
02/02/25,02:14,20.0*C,68.0*F,25.2%
02/02/25,02:19,20.0*C,68.0*F,25.2%
02/02/25,02:24,20.0*C,68.0*F,25.2%
02/02/25,02:29,20.0*C,68.0*F,25.2%
02/02/25,02:34,20.0*C,68.0*F,25.2%
02/02/25,02:44,20.0*C,68.0*F,25.2%
02/02/25,02:49,20.0*C,68.0*F,25.2%
02/02/25,02:54,20.0*C,68.0*F,25.2%
02/02/25,02:59,20.0*C,68.0*F,25.2%
02/02/25,03:04,20.0*C,68.0*F,25.2%
02/02/25,03:14,20.0*C,68.0*F,25.2%
02/02/25,03:19,20.0*C,68.0*F,25.2%
02/02/25,03:34,20.0*C,68.0*F,25.2%
02/02/25,03:39,20.0*C,68.0*F,25.3%
02/02/25,03:44,20.0*C,68.0*F,25.3%
02/02/25,03:49,20.0*C,68.0*F,25.2%
02/02/25,03:59,20.0*C,68.0*F,25.3%
02/02/25,04:19,20.0*C,68.0*F,25.3%
02/02/25,04:24,20.0*C,68.0*F,25.3%
02/02/25,04:44,20.0*C,68.0*F,25.3%
02/02/25,04:49,19.9*C,67.8*F,25.4%
02/02/25,04:59,19.9*C,67.8*F,25.4%
02/02/25,05:09,19.9*C,67.8*F,25.5%
02/02/25,05:14,19.9*C,67.8*F,25.5%
02/02/25,05:19,19.9*C,67.8*F,25.5%
02/02/25,05:24,19.9*C,67.8*F,25.5%
02/02/25,05:29,19.9*C,67.8*F,25.6%
02/02/25,05:34,19.9*C,67.8*F,25.6%
02/02/25,05:49,19.9*C,67.8*F,25.7%
02/02/25,05:59,19.9*C,67.8*F,25.7%
02/02/25,06:34,19.9*C,67.8*F,25.9%
02/02/25,06:39,19.9*C,67.8*F,26.0%
02/02/25,06:44,19.9*C,67.8*F,26.0%
02/02/25,07:04,19.9*C,67.8*F,26.1%
02/02/25,07:09,19.9*C,67.8*F,26.1%
02/02/25,07:24,19.9*C,67.8*F,26.2%
02/02/25,07:29,19.9*C,67.8*F,26.2%
02/02/25,07:34,19.9*C,67.8*F,26.2%
02/02/25,07:39,19.9*C,67.8*F,26.3%
02/02/25,07:49,19.9*C,67.8*F,26.3%
02/02/25,07:59,19.9*C,67.8*F,26.4%
02/02/25,08:09,19.9*C,67.8*F,26.4%
02/02/25,08:19,19.9*C,67.8*F,26.4%
02/02/25,08:24,19.9*C,67.8*F,26.5%
02/02/25,08:29,19.9*C,67.8*F,26.4%
02/02/25,08:34,19.9*C,67.8*F,26.5%
02/02/25,08:39,19.9*C,67.8*F,26.5%
02/02/25,08:44,19.9*C,67.8*F,26.5%
02/02/25,08:49,19.9*C,67.8*F,26.5%
02/02/25,08:59,19.9*C,67.8*F,26.5%
02/02/25,09:14,19.9*C,67.8*F,26.6%
02/02/25,09:19,19.9*C,67.8*F,26.6%
02/02/25,09:29,19.9*C,67.8*F,26.7%
02/02/25,09:34,19.9*C,67.8*F,26.7%
02/02/25,09:39,20.0*C,68.0*F,26.7%
02/02/25,09:49,19.9*C,67.8*F,26.7%
02/02/25,09:54,20.0*C,68.0*F,26.7%
02/02/25,10:04,19.9*C,67.8*F,26.8%
02/02/25,10:09,19.9*C,67.8*F,26.8%
02/02/25,10:19,19.9*C,67.8*F,26.8%
02/02/25,10:24,19.9*C,67.8*F,26.8%
02/02/25,10:29,19.9*C,67.8*F,26.8%
02/02/25,10:34,20.0*C,68.0*F,26.8%
02/02/25,10:39,19.9*C,67.8*F,26.8%
02/02/25,10:44,20.0*C,68.0*F,26.9%
02/02/25,11:04,19.9*C,67.8*F,26.9%
02/02/25,11:09,20.0*C,68.0*F,26.9%
02/02/25,11:14,19.9*C,67.8*F,26.9%
02/02/25,11:24,19.9*C,67.8*F,26.9%
02/02/25,11:29,19.9*C,67.8*F,26.9%
02/02/25,11:34,19.9*C,67.8*F,26.9%
02/02/25,11:44,19.9*C,67.8*F,26.9%
02/02/25,11:49,19.9*C,67.8*F,27.0%
02/02/25,11:54,19.9*C,67.8*F,27.0%
02/02/25,11:59,19.9*C,67.8*F,27.0%
02/02/25,12:04,19.9*C,67.8*F,27.0%
02/02/25,12:19,19.9*C,67.8*F,27.0%
02/02/25,12:24,19.9*C,67.8*F,27.0%
02/02/25,12:34,19.9*C,67.8*F,27.0%
02/02/25,12:44,19.9*C,67.8*F,27.1%
02/02/25,12:49,19.9*C,67.8*F,27.1%
02/02/25,12:59,19.9*C,67.8*F,27.1%
02/02/25,13:04,19.9*C,67.8*F,27.1%
02/02/25,13:14,19.9*C,67.8*F,27.1%
02/02/25,13:19,19.9*C,67.8*F,27.1%
02/02/25,13:29,19.9*C,67.8*F,27.1%
02/02/25,13:39,19.9*C,67.8*F,27.1%
02/02/25,13:44,19.9*C,67.8*F,27.2%
02/02/25,13:49,19.9*C,67.8*F,27.2%
02/02/25,13:54,19.9*C,67.8*F,27.1%
02/02/25,14:09,19.9*C,67.8*F,27.2%
02/02/25,14:14,19.9*C,67.8*F,27.2%
02/02/25,14:19,19.9*C,67.8*F,27.2%
02/02/25,14:34,19.9*C,67.8*F,27.2%
02/02/25,14:39,19.9*C,67.8*F,27.2%
02/02/25,14:44,19.9*C,67.8*F,27.2%
02/02/25,14:54,19.9*C,67.8*F,27.2%
02/02/25,15:04,19.9*C,67.8*F,27.2%
02/02/25,15:19,19.9*C,67.8*F,27.3%
02/02/25,15:24,19.9*C,67.8*F,27.3%
02/02/25,15:29,19.9*C,67.8*F,27.3%
02/02/25,15:34,19.9*C,67.8*F,27.3%
02/02/25,15:44,19.9*C,67.8*F,27.3%
02/02/25,15:49,19.9*C,67.8*F,27.4%
02/02/25,16:00,19.9*C,67.8*F,27.3%
02/02/25,16:05,19.9*C,67.8*F,27.4%
02/02/25,16:10,19.9*C,67.8*F,27.4%
02/02/25,16:25,19.9*C,67.8*F,27.4%
02/02/25,16:30,19.9*C,67.8*F,27.4%
02/02/25,16:35,19.9*C,67.8*F,27.5%
02/02/25,16:40,19.9*C,67.8*F,27.5%
02/02/25,17:00,19.9*C,67.8*F,27.5%
02/02/25,17:10,19.9*C,67.8*F,27.5%
02/02/25,17:25,19.9*C,67.8*F,27.5%
02/02/25,17:30,19.9*C,67.8*F,27.5%
02/02/25,17:35,19.9*C,67.8*F,27.5%
02/02/25,17:40,19.9*C,67.8*F,27.5%
02/02/25,17:45,19.9*C,67.8*F,27.5%
02/02/25,17:50,19.9*C,67.8*F,27.5%
02/02/25,17:55,19.9*C,67.8*F,27.5%
02/02/25,18:00,19.9*C,67.8*F,27.5%
02/02/25,18:05,19.9*C,67.8*F,27.6%
02/02/25,18:15,19.9*C,67.8*F,27.6%
02/02/25,18:20,19.9*C,67.8*F,27.6%
02/02/25,18:35,19.9*C,67.8*F,27.7%
02/02/25,18:50,19.9*C,67.8*F,27.7%
02/02/25,19:00,19.9*C,67.8*F,27.8%
02/02/25,19:10,19.9*C,67.8*F,27.8%
02/02/25,19:15,19.9*C,67.8*F,27.8%
02/02/25,19:25,19.9*C,67.8*F,27.9%
02/02/25,19:40,19.9*C,67.8*F,27.9%
02/02/25,19:45,19.9*C,67.8*F,27.9%
02/02/25,19:50,19.9*C,67.8*F,27.9%
02/02/25,20:00,20.0*C,68.0*F,28.0%
02/02/25,20:10,20.0*C,68.0*F,28.1%
02/02/25,20:20,20.0*C,68.0*F,28.1%
02/02/25,20:30,20.0*C,68.0*F,28.1%
02/02/25,20:35,20.0*C,68.0*F,28.2%
02/02/25,20:40,20.0*C,68.0*F,28.2%
02/02/25,20:45,20.0*C,68.0*F,28.2%
02/02/25,20:50,20.0*C,68.0*F,28.2%
02/02/25,20:55,20.0*C,68.0*F,28.2%
02/02/25,21:05,20.0*C,68.0*F,28.3%
